fixed_layers,trainable_layers,ratio,total_random_params,test_accuracy
5,5,6.521240234375,24576,77.81
5,10,9.880615234375,24576,37.43
5,15,13.239990234375,24576,20.68
5,20,16.599365234375,24576,11.35
5,25,19.958740234375,24576,11.35
5,30,23.318115234375,24576,11.35
5,35,26.677490234375,24576,11.35
5,40,30.036865234375,24576,11.35
5,45,33.396240234375,24576,11.35
5,50,36.755615234375,24576,11.35
10,5,3.5712446732954546,45056,59.3
10,10,5.403631036931818,45056,40.79
10,15,7.236017400568182,45056,19.79
10,20,9.068403764204545,45056,11.35
10,25,10.900790127840908,45056,11.35
10,30,12.733176491477273,45056,11.35
10,35,14.565562855113637,45056,11.35
10,40,16.39794921875,45056,11.35
10,45,18.230335582386363,45056,11.35
10,50,20.062721946022727,45056,11.35
15,5,2.464996337890625,65536,58.45
15,10,3.724761962890625,65536,41.02
15,15,4.984527587890625,65536,19.85
15,20,6.244293212890625,65536,11.35
15,25,7.504058837890625,65536,11.35
15,30,8.763824462890625,65536,11.35
15,35,10.023590087890625,65536,11.35
15,40,11.283355712890625,65536,11.35
15,45,12.543121337890625,65536,11.35
15,50,13.802886962890625,65536,11.35
20,5,1.8855329241071428,86016,56.76
20,10,2.8453543526785716,86016,44.44
20,15,3.80517578125,86016,20.53
20,20,4.764997209821429,86016,11.35
20,25,5.724818638392857,86016,11.35
20,30,6.684640066964286,86016,11.35
20,35,7.644461495535714,86016,11.35
20,40,8.604282924107142,86016,11.35
20,45,9.564104352678571,86016,11.35
20,50,10.52392578125,86016,11.35
25,5,1.5289400540865385,106496,52.01
25,10,2.304180438701923,106496,34.57
25,15,3.0794208233173075,106496,11.35
25,20,3.8546612079326925,106496,11.35
25,25,4.629901592548077,106496,11.35
25,30,5.405141977163462,106496,11.35
25,35,6.180382361778846,106496,11.35
25,40,6.955622746394231,106496,11.35
25,45,7.730863131009615,106496,11.35
25,50,8.506103515625,106496,11.35
30,5,1.2873771421370968,126976,52.4
30,10,1.9375787550403225,126976,28.38
30,15,2.5877803679435485,126976,21.04
30,20,3.237981980846774,126976,11.35
30,25,3.88818359375,126976,11.35
30,30,4.538385206653226,126976,11.35
30,35,5.188586819556452,126976,11.35
30,40,5.838788432459677,126976,11.35
30,45,6.488990045362903,126976,11.35
30,50,7.139191658266129,126976,11.35
35,5,1.1129150390625,147456,45.68
35,10,1.6728108723958333,147456,20.8
35,15,2.2327067057291665,147456,20.34
35,20,2.7926025390625,147456,9.52
35,25,3.3524983723958335,147456,11.35
35,30,3.9123942057291665,147456,11.35
35,35,4.4722900390625,147456,11.35
35,40,5.032185872395833,147456,11.35
35,45,5.592081705729167,147456,11.35
35,50,6.1519775390625,147456,11.35
40,5,0.9810046684451219,167936,50.63
40,10,1.4726205221036586,167936,21.58
40,15,1.9642363757621952,167936,10.2
40,20,2.455852229420732,167936,11.35
40,25,2.947468083079268,167936,11.35
40,30,3.4390839367378048,167936,11.35
40,35,3.9306997903963414,167936,11.35
40,40,4.422315644054878,167936,11.35
40,45,4.913931497713414,167936,11.35
40,50,5.405547351371951,167936,11.35
45,5,0.8777704653532609,188416,53.44
45,10,1.315949813179348,188416,42.62
45,15,1.7541291610054348,188416,16.91
45,20,2.192308508831522,188416,11.35
45,25,2.630487856657609,188416,11.35
45,30,3.068667204483696,188416,11.35
45,35,3.5068465523097827,188416,11.35
45,40,3.9450259001358696,188416,11.35
45,45,4.383205247961956,188416,11.35
45,50,4.821384595788044,188416,11.35
50,5,0.7947782628676471,208896,45.9
50,10,1.1899988511029411,208896,21.97
50,15,1.5852194393382353,208896,11.35
50,20,1.9804400275735294,208896,11.35
50,25,2.3756606158088234,208896,11.35
50,30,2.7708812040441178,208896,11.35
50,35,3.1661017922794117,208896,11.35
50,40,3.561322380514706,208896,11.35
50,45,3.95654296875,208896,11.35
50,50,4.351763556985294,208896,11.35
