fixed_layers,trainable_layers,ratio,total_random_params,test_accuracy
5,5,2.0485595703125,81920,84.56
5,10,3.0563720703125,81920,44.57
5,15,4.0641845703125,81920,19.55
5,20,5.0719970703125,81920,11.35
5,25,6.0798095703125,81920,11.35
5,30,7.0876220703125,81920,11.35
5,35,8.0954345703125,81920,11.35
5,40,9.1032470703125,81920,11.35
5,45,10.1110595703125,81920,11.35
5,50,11.1188720703125,81920,11.35
10,5,1.02427978515625,163840,85.99
10,10,1.52818603515625,163840,74.43
10,15,2.03209228515625,163840,21.8
10,20,2.53599853515625,163840,20.42
10,25,3.03990478515625,163840,11.35
10,30,3.54381103515625,163840,11.35
10,35,4.04771728515625,163840,11.35
10,40,4.55162353515625,163840,11.35
10,45,5.05552978515625,163840,11.35
10,50,5.55943603515625,163840,11.35
15,5,0.6828531901041667,245760,57.86
15,10,1.0187906901041666,245760,67.8
15,15,1.3547281901041666,245760,31.27
15,20,1.6906656901041666,245760,19.89
15,25,2.026603190104167,245760,11.35
15,30,2.362540690104167,245760,11.35
15,35,2.698478190104167,245760,11.35
15,40,3.034415690104167,245760,11.35
15,45,3.370353190104167,245760,11.35
15,50,3.706290690104167,245760,11.35
20,5,0.512139892578125,327680,49.83
20,10,0.764093017578125,327680,60.03
20,15,1.016046142578125,327680,31.94
20,20,1.267999267578125,327680,21.76
20,25,1.519952392578125,327680,11.35
20,30,1.771905517578125,327680,11.35
20,35,2.023858642578125,327680,11.35
20,40,2.275811767578125,327680,11.35
20,45,2.527764892578125,327680,11.35
20,50,2.779718017578125,327680,11.35
25,5,0.4097119140625,409600,58.17
25,10,0.6112744140625,409600,31.43
25,15,0.8128369140625,409600,13.19
25,20,1.0143994140625,409600,11.46
25,25,1.2159619140625,409600,18.15
25,30,1.4175244140625,409600,11.35
25,35,1.6190869140625,409600,11.35
25,40,1.8206494140625,409600,11.35
25,45,2.0222119140625,409600,11.35
25,50,2.2237744140625,409600,11.35
30,5,0.34142659505208334,491520,52.03
30,10,0.5093953450520833,491520,19.2
30,15,0.6773640950520833,491520,11.07
30,20,0.8453328450520833,491520,10.21
30,25,1.0133015950520834,491520,21.05
30,30,1.1812703450520834,491520,11.35
30,35,1.3492390950520834,491520,11.35
30,40,1.5172078450520834,491520,11.35
30,45,1.6851765950520834,491520,11.35
30,50,1.8531453450520834,491520,11.35
35,5,0.2926513671875,573440,47.97
35,10,0.4366245814732143,573440,10.59
35,15,0.5805977957589286,573440,9.41
35,20,0.7245710100446429,573440,10.28
35,25,0.8685442243303572,573440,10.32
35,30,1.0125174386160714,573440,10.1
35,35,1.1564906529017858,573440,11.35
35,40,1.3004638671875,573440,11.35
35,45,1.4444370814732144,573440,11.35
35,50,1.5884102957589286,573440,11.35
40,5,0.2560699462890625,655360,48.63
40,10,0.3820465087890625,655360,17.82
40,15,0.5080230712890625,655360,9.58
40,20,0.6339996337890625,655360,10.1
40,25,0.7599761962890625,655360,9.58
40,30,0.8859527587890625,655360,10.32
40,35,1.0119293212890625,655360,11.35
40,40,1.1379058837890625,655360,11.35
40,45,1.2638824462890625,655360,11.35
40,50,1.3898590087890625,655360,11.35
45,5,0.22761773003472222,737280,42.93
45,10,0.3395968967013889,737280,33.72
45,15,0.45157606336805556,737280,9.8
45,20,0.5635552300347222,737280,18.03
45,25,0.6755343967013889,737280,9.8
45,30,0.7875135633680556,737280,9.82
45,35,0.8994927300347222,737280,11.35
45,40,1.011471896701389,737280,11.35
45,45,1.1234510633680554,737280,11.35
45,50,1.2354302300347222,737280,11.35
50,5,0.20485595703125,819200,38.65
50,10,0.30563720703125,819200,22.0
50,15,0.40641845703125,819200,9.74
50,20,0.50719970703125,819200,10.32
50,25,0.60798095703125,819200,9.8
50,30,0.70876220703125,819200,9.82
50,35,0.80954345703125,819200,10.28
50,40,0.91032470703125,819200,9.74
50,45,1.01110595703125,819200,10.09
50,50,1.11188720703125,819200,11.35
